,Freq(cm-1),atom_0_cart,atom_0_norms,atom_0_vector,atom_1_cart,atom_1_norms,atom_1_vector,atom_2_cart,atom_2_norms,atom_2_vector,atom_3_cart,atom_3_norms,atom_3_vector,atom_4_cart,atom_4_norms,atom_4_vector,atom_5_cart,atom_5_norms,atom_5_vector,atom_6_cart,atom_6_norms,atom_6_vector,atom_7_cart,atom_7_norms,atom_7_vector,total_norms
1,8e-06,"[0.0, 0.0, 0.0]",0.124999567814,[-0.119238 -0.304937 -0.133399],"[1.373411, 1.373411, 1.373411]",0.124999567814,[-0.119238 -0.304937 -0.133399],"[0.0, 2.746821, 2.746821]",0.124999567814,[-0.119238 -0.304937 -0.133399],"[1.373411, 4.120232, 4.120232]",0.124999567814,[-0.119238 -0.304937 -0.133399],"[2.746821, 0.0, 2.746821]",0.124999567814,[-0.119238 -0.304937 -0.133399],"[4.120232, 1.373411, 4.120232]",0.124999567814,[-0.119238 -0.304937 -0.133399],"[2.746821, 2.746821, 0.0]",0.124999567814,[-0.119238 -0.304937 -0.133399],"[4.120232, 4.120232, 1.373411]",0.124999567814,[-0.119238 -0.304937 -0.133399],0.9999982712545058
2,5e-06,"[0.0, 0.0, 0.0]",0.12499991293800002,[-0.048721 -0.124184  0.327421],"[1.373411, 1.373411, 1.373411]",0.12499991293800002,[-0.048721 -0.124184  0.327421],"[0.0, 2.746821, 2.746821]",0.12499991293800002,[-0.048721 -0.124184  0.327421],"[1.373411, 4.120232, 4.120232]",0.12499991293800002,[-0.048721 -0.124184  0.327421],"[2.746821, 0.0, 2.746821]",0.12499991293800002,[-0.048721 -0.124184  0.327421],"[4.120232, 1.373411, 4.120232]",0.12499991293800002,[-0.048721 -0.124184  0.327421],"[2.746821, 2.746821, 0.0]",0.12499991293800002,[-0.048721 -0.124184  0.327421],"[4.120232, 4.120232, 1.373411]",0.12499991293800002,[-0.048721 -0.124184  0.327421],0.9999996517519395
3,1.2e-05,"[0.0, 0.0, 0.0]",0.12499971670099999,[-3.29254e-01  1.28808e-01 -1.39000e-04],"[1.373411, 1.373411, 1.373411]",0.12499971670099999,[-3.29254e-01  1.28808e-01 -1.39000e-04],"[0.0, 2.746821, 2.746821]",0.12499971670099999,[-3.29254e-01  1.28808e-01 -1.39000e-04],"[1.373411, 4.120232, 4.120232]",0.12499971670099999,[-3.29254e-01  1.28808e-01 -1.39000e-04],"[2.746821, 0.0, 2.746821]",0.12499971670099999,[-3.29254e-01  1.28808e-01 -1.39000e-04],"[4.120232, 1.373411, 4.120232]",0.12499971670099999,[-3.29254e-01  1.28808e-01 -1.39000e-04],"[2.746821, 2.746821, 0.0]",0.12499971670099999,[-3.29254e-01  1.28808e-01 -1.39000e-04],"[4.120232, 4.120232, 1.373411]",0.12499971670099999,[-3.29254e-01  1.28808e-01 -1.39000e-04],0.9999988668033579
4,153.254224,"[0.0, 0.0, 0.0]",0.133021851269,[ 0.000815 -0.35928   0.062762],"[1.373411, 1.373411, 1.373411]",0.10585775671700001,[-0.3244    0.024611  0.004086],"[0.0, 2.746821, 2.746821]",0.064897263035,[-0.000815  0.138423  0.213859],"[1.373411, 4.120232, 4.120232]",0.21934375334900003,[ 0.3244    0.25201  -0.224943],"[2.746821, 0.0, 2.746821]",0.226899876506,[ 0.228215  0.35928  -0.213859],"[4.120232, 1.373411, 4.120232]",0.08123898437900001,[ 0.173303 -0.024611  0.224943],"[2.746821, 2.746821, 0.0]",0.075182081798,[-0.228215 -0.138423 -0.062762],"[4.120232, 4.120232, 1.373411]",0.09355966530500001,[-0.173303 -0.25201  -0.004086],1.0000006161788102
5,153.254224,"[0.0, 0.0, 0.0]",0.15992552329299997,[ 0.333483 -0.20295   0.086752],"[1.373411, 1.373411, 1.373411]",0.026207494433999997,[ 0.140449  0.080428 -0.003593],"[0.0, 2.746821, 2.746821]",0.20110312837899996,[-0.333483 -0.124219 -0.272877],"[1.373411, 4.120232, 4.120232]",0.195478498339,[-0.140449 -0.266553 -0.323577],"[2.746821, 0.0, 2.746821]",0.11583275563299997,[-0.013498  0.20295   0.272877],"[4.120232, 1.373411, 4.120232]",0.159210610513,[ 0.21918  -0.080428  0.323577],"[2.746821, 2.746821, 0.0]",0.023138465469,[ 0.013498  0.124219 -0.086752],"[4.120232, 4.120232, 1.373411]",0.119103283858,[-0.21918   0.266553  0.003593],0.9999998799589926
6,153.254224,"[0.0, 0.0, 0.0]",0.06736702974199998,[-0.257665 -0.011341  0.029106],"[1.373411, 1.373411, 1.373411]",0.19053165291299998,[ 0.146942 -0.41035   0.023507],"[0.0, 2.746821, 2.746821]",0.184388303906,[ 0.257665  0.061784 -0.337905],"[1.373411, 4.120232, 4.120232]",0.032630105060999996,[-0.146942  0.101551  0.026936],"[2.746821, 0.0, 2.746821]",0.178944351002,[0.254236 0.011341 0.337905],"[4.120232, 1.373411, 4.120232]",0.21754259522,[ 0.220068  0.41035  -0.026936],"[2.746821, 2.746821, 0.0]",0.06930036558800001,[-0.254236 -0.061784 -0.029106],"[4.120232, 4.120232, 1.373411]",0.05929510927400001,[-0.220068 -0.101551 -0.023507],0.9999997563529703
7,153.254224,"[0.0, 0.0, 0.0]",0.011510660669,[-0.018435 -0.101062 -0.03094 ],"[1.373411, 1.373411, 1.373411]",0.042507653457,[-0.199526  0.051859 -0.00277 ],"[0.0, 2.746821, 2.746821]",0.164353931587,[ 0.018435  0.386859 -0.119809],"[1.373411, 4.120232, 4.120232]",0.16413153982900003,[ 0.199526 -0.202608  0.288567],"[2.746821, 0.0, 2.746821]",0.09904322592899999,[-0.272902  0.101062  0.119809],"[4.120232, 1.373411, 4.120232]",0.169131945395,[ 0.288395 -0.051859 -0.288567],"[2.746821, 2.746821, 0.0]",0.225092671085,[ 0.272902 -0.386859  0.03094 ],"[4.120232, 4.120232, 1.373411]",0.124229350589,[-0.288395  0.202608  0.00277 ],1.0000004892698802
8,153.254224,"[0.0, 0.0, 0.0]",0.24468503824499999,[-0.045247  0.076856  0.48655 ],"[1.373411, 1.373411, 1.373411]",0.13504520721,[ 0.252235  0.267247 -0.001324],"[0.0, 2.746821, 2.746821]",0.003819212926,[0.045247 0.025269 0.033666],"[1.373411, 4.120232, 4.120232]",0.13831699985,[-0.252235  0.252968  0.103449],"[2.746821, 0.0, 2.746821]",0.010583588968,[-0.059526 -0.076856 -0.033666],"[4.120232, 1.373411, 4.120232]",0.122382274514,[ 0.200648 -0.267247 -0.103449],"[2.746821, 2.746821, 0.0]",0.24091276953699997,[ 0.059526 -0.025269 -0.48655 ],"[4.120232, 4.120232, 1.373411]",0.104254181904,[-0.200648 -0.252968  0.001324],0.999999636576934
9,153.254224,"[0.0, 0.0, 0.0]",0.133490318926,[ 2.64594e-01  2.51953e-01 -1.41000e-04],"[1.373411, 1.373411, 1.373411]",0.24984995990800002,[-0.00369   0.020688  0.499408],"[0.0, 2.746821, 2.746821]",0.13143832014999998,[-0.264594  0.247575  0.011617],"[1.373411, 4.120232, 4.120232]",9.850986900000003e-05,[ 0.00369  -0.009213  0.00012 ],"[2.746821, 0.0, 2.746821]",0.118696073147,[ 0.234693 -0.251953 -0.011617],"[4.120232, 1.373411, 4.120232]",0.0004931003680000002,[-0.008068 -0.020688 -0.00012 ],"[2.746821, 2.746821, 0.0]",0.116374204755,[-2.34693e-01 -2.47575e-01  1.41000e-04],"[4.120232, 4.120232, 1.373411]",0.249558322457,[ 0.008068  0.009213 -0.499408],0.9999994047898229
10,397.274947,"[0.0, 0.0, 0.0]",0.135545702805,[ 0.288006 -0.00606  -0.229263],"[1.373411, 1.373411, 1.373411]",0.11445423674500001,[-0.319674  0.11071  -0.002463],"[0.0, 2.746821, 2.746821]",0.135545702805,[0.288006 0.00606  0.229263],"[1.373411, 4.120232, 4.120232]",0.11445423674500001,[-0.319674 -0.11071   0.002463],"[2.746821, 0.0, 2.746821]",0.135545702805,[-0.288006 -0.00606   0.229263],"[4.120232, 1.373411, 4.120232]",0.11445423674500001,[0.319674 0.11071  0.002463],"[2.746821, 2.746821, 0.0]",0.135545702805,[-0.288006  0.00606  -0.229263],"[4.120232, 4.120232, 1.373411]",0.11445423674500001,[ 0.319674 -0.11071  -0.002463],0.9999998790999927
11,397.274947,"[0.0, 0.0, 0.0]",0.223510701442,[-0.205329 -0.029585 -0.424824],"[1.373411, 1.373411, 1.373411]",0.026489640347000003,[ 0.069245 -0.147289 -0.000849],"[0.0, 2.746821, 2.746821]",0.223510701442,[-0.205329  0.029585  0.424824],"[1.373411, 4.120232, 4.120232]",0.026489640347000003,[0.069245 0.147289 0.000849],"[2.746821, 0.0, 2.746821]",0.223510701442,[ 0.205329 -0.029585  0.424824],"[4.120232, 1.373411, 4.120232]",0.026489640347000003,[-0.069245 -0.147289  0.000849],"[2.746821, 2.746821, 0.0]",0.223510701442,[ 0.205329  0.029585 -0.424824],"[4.120232, 4.120232, 1.373411]",0.026489640347000003,[-0.069245  0.147289 -0.000849],1.0000006835777664
12,397.274947,"[0.0, 0.0, 0.0]",0.20932947998499998,[ 0.139476  0.435247 -0.02088 ],"[1.373411, 1.373411, 1.373411]",0.040670851157000004,[ 0.066433 -0.190412  0.000882],"[0.0, 2.746821, 2.746821]",0.20932947998499998,[ 0.139476 -0.435247  0.02088 ],"[1.373411, 4.120232, 4.120232]",0.040670851157000004,[ 0.066433  0.190412 -0.000882],"[2.746821, 0.0, 2.746821]",0.20932947998499998,[-0.139476  0.435247  0.02088 ],"[4.120232, 1.373411, 4.120232]",0.040670851157000004,[-0.066433 -0.190412 -0.000882],"[2.746821, 2.746821, 0.0]",0.20932947998499998,[-0.139476 -0.435247 -0.02088 ],"[4.120232, 4.120232, 1.373411]",0.040670851157000004,[-0.066433  0.190412  0.000882],1.0000006622837807
13,397.274947,"[0.0, 0.0, 0.0]",3.8225e-06,[ 0.00064 -0.00105 -0.00152],"[1.373411, 1.373411, 1.373411]",0.24999610431500002,[-2.24700e-03 -2.35000e-04  4.99991e-01],"[0.0, 2.746821, 2.746821]",3.8225e-06,[0.00064 0.00105 0.00152],"[1.373411, 4.120232, 4.120232]",0.24999610431500002,[-2.24700e-03  2.35000e-04 -4.99991e-01],"[2.746821, 0.0, 2.746821]",3.8225e-06,[-0.00064 -0.00105  0.00152],"[4.120232, 1.373411, 4.120232]",0.24999610431500002,[ 2.24700e-03 -2.35000e-04 -4.99991e-01],"[2.746821, 2.746821, 0.0]",3.8225e-06,[-0.00064  0.00105 -0.00152],"[4.120232, 4.120232, 1.373411]",0.24999610431500002,[2.24700e-03 2.35000e-04 4.99991e-01],0.9999998536299894
14,397.274947,"[0.0, 0.0, 0.0]",0.043832289793999994,[-0.056804  0.172643 -0.103923],"[1.373411, 1.373411, 1.373411]",0.206167693234,[0.166385 0.422472 0.001065],"[0.0, 2.746821, 2.746821]",0.043832289793999994,[-0.056804 -0.172643  0.103923],"[1.373411, 4.120232, 4.120232]",0.206167693234,[ 0.166385 -0.422472 -0.001065],"[2.746821, 0.0, 2.746821]",0.043832289793999994,[0.056804 0.172643 0.103923],"[4.120232, 1.373411, 4.120232]",0.206167693234,[-0.166385  0.422472 -0.001065],"[2.746821, 2.746821, 0.0]",0.043832289793999994,[ 0.056804 -0.172643 -0.103923],"[4.120232, 4.120232, 1.373411]",0.206167693234,[-0.166385 -0.422472  0.001065],0.9999999660559994
15,397.274947,"[0.0, 0.0, 0.0]",0.137778384861,[-0.319706  0.172748  0.075661],"[1.373411, 1.373411, 1.373411]",0.11222121320900003,[-0.333033  0.036194 -0.000478],"[0.0, 2.746821, 2.746821]",0.137778384861,[-0.319706 -0.172748 -0.075661],"[1.373411, 4.120232, 4.120232]",0.11222121320900003,[-0.333033 -0.036194  0.000478],"[2.746821, 0.0, 2.746821]",0.137778384861,[ 0.319706  0.172748 -0.075661],"[4.120232, 1.373411, 4.120232]",0.11222121320900003,[0.333033 0.036194 0.000478],"[2.746821, 2.746821, 0.0]",0.137778384861,[ 0.319706 -0.172748  0.075661],"[4.120232, 4.120232, 1.373411]",0.11222121320900003,[ 0.333033 -0.036194 -0.000478],0.9999991961396769
16,436.069275,"[0.0, 0.0, 0.0]",0.009013171505,[-0.054908  0.069696  0.033775],"[1.373411, 1.373411, 1.373411]",0.03251684853599999,[ 0.10843  -0.143444 -0.01355 ],"[0.0, 2.746821, 2.746821]",0.12828899426400003,[ 0.054908  0.352478 -0.032146],"[1.373411, 4.120232, 4.120232]",0.198842132501,[-0.10843   0.141815 -0.408624],"[2.746821, 0.0, 2.746821]",0.12160380528800001,[-0.340166 -0.069696  0.032146],"[4.120232, 1.373411, 4.120232]",0.21794802571299998,[-0.174351  0.143444  0.408624],"[2.746821, 2.746821, 0.0]",0.24109439866500001,[ 0.340166 -0.352478 -0.033775],"[4.120232, 4.120232, 1.373411]",0.050693367925999995,[ 0.174351 -0.141815  0.01355 ],1.0000003721989308
17,436.069275,"[0.0, 0.0, 0.0]",0.113020549827,[-0.278827 -0.187237 -0.014777],"[1.373411, 1.373411, 1.373411]",0.24208788457400002,[ 0.000962 -0.011999  0.491877],"[0.0, 2.746821, 2.746821]",0.145334543402,[ 0.278827 -0.254272  0.054183],"[1.373411, 4.120232, 4.120232]",0.003289059332,[-0.000962 -0.027408 -0.050368],"[2.746821, 0.0, 2.746821]",0.107383061219,[-0.263419  0.187237 -0.054183],"[4.120232, 1.373411, 4.120232]",0.007304639429,[0.067998 0.011999 0.050368],"[2.746821, 2.746821, 0.0]",0.134262179274,[0.263419 0.254272 0.014777],"[4.120232, 4.120232, 1.373411]",0.247317909597,[-0.067998  0.027408 -0.491877],0.9999999133269962
18,436.069275,"[0.0, 0.0, 0.0]",0.082945606761,[-0.136463  0.253174 -0.015046],"[1.373411, 1.373411, 1.373411]",0.025986142429,[ 0.087933 -0.106636 -0.082962],"[0.0, 2.746821, 2.746821]",0.183934925269,[0.136463 0.007476 0.406518],"[1.373411, 4.120232, 4.120232]",0.120436215058,[-0.087933 -0.284835 -0.177688],"[2.746821, 0.0, 2.746821]",0.231095852296,[ 0.041736 -0.253174 -0.406518],"[4.120232, 1.373411, 4.120232]",0.154253906001,[0.333631 0.106636 0.177688],"[2.746821, 2.746821, 0.0]",0.002024166388,[-0.041736 -0.007476  0.015046],"[4.120232, 4.120232, 1.373411]",0.19932331483,[-0.333631  0.284835  0.082962],1.0000000645159979
19,436.069275,"[0.0, 0.0, 0.0]",0.14164941844,[ 0.348306  0.13312  -0.051102],"[1.373411, 1.373411, 1.373411]",0.105727740392,[-0.112088 -0.304938 -0.013298],"[0.0, 2.746821, 2.746821]",0.16665324607700002,[-0.348306 -0.203804  0.061645],"[1.373411, 4.120232, 4.120232]",0.10628511209300001,[0.112088 0.294395 0.083982],"[2.746821, 0.0, 2.746821]",0.084535595154,[-0.251027 -0.13312  -0.061645],"[4.120232, 1.373411, 4.120232]",0.15059138706400002,[ 0.224836  0.304938 -0.083982],"[2.746821, 2.746821, 0.0]",0.10716203954900001,[0.251027 0.203804 0.051102],"[4.120232, 4.120232, 1.373411]",0.13739647972500002,[-0.224836 -0.294395  0.013298],1.0000005092468705
20,436.069275,"[0.0, 0.0, 0.0]",0.164581351234,[ 0.169644 -0.339467  0.143403],"[1.373411, 1.373411, 1.373411]",0.167823784714,[ 0.288048 -0.289917  0.028289],"[0.0, 2.746821, 2.746821]",0.11417780244999998,[-0.169644  0.108817  0.271215],"[1.373411, 4.120232, 4.120232]",0.13947196402600004,[-0.288048 -0.124701  0.202361],"[2.746821, 0.0, 2.746821]",0.188815027498,[ 0.004428  0.339467 -0.271215],"[4.120232, 1.373411, 4.120232]",0.150677416906,[-0.160236  0.289917 -0.202361],"[2.746821, 2.746821, 0.0]",0.032425167082,[-0.004428 -0.108817 -0.143403],"[4.120232, 4.120232, 1.373411]",0.042026182618,[ 0.160236  0.124701 -0.028289],0.9999993482637877
21,436.069275,"[0.0, 0.0, 0.0]",0.238789765121,[ 0.022856 -0.114144 -0.474593],"[1.373411, 1.373411, 1.373411]",0.17585729001300002,[ 0.367388  0.202163 -0.00367 ],"[0.0, 2.746821, 2.746821]",0.011610690437,[-0.022856  0.08759   0.058449],"[1.373411, 4.120232, 4.120232]",0.181675301081,[-0.367388  0.213981  0.030224],"[2.746821, 0.0, 2.746821]",0.016566975781,[ 0.011038  0.114144 -0.058449],"[4.120232, 1.373411, 4.120232]",0.06922461646099999,[ 0.165654 -0.202163 -0.030224],"[2.746821, 2.746821, 0.0]",0.233032361193,[-0.011038 -0.08759   0.474593],"[4.120232, 4.120232, 1.373411]",0.073242584977,[-0.165654 -0.213981  0.00367 ],0.9999997925319785
22,496.47427,"[0.0, 0.0, 0.0]",0.125000248262,[ 0.13629  -0.326149  0.007219],"[1.373411, 1.373411, 1.373411]",0.125000248262,[-0.13629   0.326149 -0.007219],"[0.0, 2.746821, 2.746821]",0.125000248262,[ 0.13629  -0.326149  0.007219],"[1.373411, 4.120232, 4.120232]",0.125000248262,[-0.13629   0.326149 -0.007219],"[2.746821, 0.0, 2.746821]",0.125000248262,[ 0.13629  -0.326149  0.007219],"[4.120232, 1.373411, 4.120232]",0.125000248262,[-0.13629   0.326149 -0.007219],"[2.746821, 2.746821, 0.0]",0.125000248262,[ 0.13629  -0.326149  0.007219],"[4.120232, 4.120232, 1.373411]",0.125000248262,[-0.13629   0.326149 -0.007219],1.0000009930475071
23,496.47427,"[0.0, 0.0, 0.0]",0.124999973153,[ 0.036151  0.007324 -0.351624],"[1.373411, 1.373411, 1.373411]",0.124999973153,[-0.036151 -0.007324  0.351624],"[0.0, 2.746821, 2.746821]",0.124999973153,[ 0.036151  0.007324 -0.351624],"[1.373411, 4.120232, 4.120232]",0.124999973153,[-0.036151 -0.007324  0.351624],"[2.746821, 0.0, 2.746821]",0.124999973153,[ 0.036151  0.007324 -0.351624],"[4.120232, 1.373411, 4.120232]",0.124999973153,[-0.036151 -0.007324  0.351624],"[2.746821, 2.746821, 0.0]",0.124999973153,[ 0.036151  0.007324 -0.351624],"[4.120232, 4.120232, 1.373411]",0.124999973153,[-0.036151 -0.007324  0.351624],0.9999998926119944
24,496.47427,"[0.0, 0.0, 0.0]",0.12499970220099998,[0.324219 0.136284 0.036172],"[1.373411, 1.373411, 1.373411]",0.12499970220099998,[-0.324219 -0.136284 -0.036172],"[0.0, 2.746821, 2.746821]",0.12499970220099998,[0.324219 0.136284 0.036172],"[1.373411, 4.120232, 4.120232]",0.12499970220099998,[-0.324219 -0.136284 -0.036172],"[2.746821, 0.0, 2.746821]",0.12499970220099998,[0.324219 0.136284 0.036172],"[4.120232, 1.373411, 4.120232]",0.12499970220099998,[-0.324219 -0.136284 -0.036172],"[2.746821, 2.746821, 0.0]",0.12499970220099998,[0.324219 0.136284 0.036172],"[4.120232, 4.120232, 1.373411]",0.12499970220099998,[-0.324219 -0.136284 -0.036172],0.9999988088032906
